terrain,algorithm,trial,success,computation_time,path_length,nodes_explored
flat_agricultural_field,TA-A* Optimized,1,True,0.06265401840209961,38.74945160902278,138
flat_agricultural_field,TA-A* Optimized,2,True,33.77448129653931,58.465180361560996,109240
flat_agricultural_field,TA-A* Optimized,3,True,42.5292010307312,53.649956672411086,165345
flat_agricultural_field,TA-A* Optimized,4,True,4.309528827667236,51.545584412271694,14786
flat_agricultural_field,TA-A* Optimized,5,True,4.5953381061553955,21.376450198781658,15418
flat_agricultural_field,TA-A* Optimized,6,True,7.2027411460876465,31.4901586977664,22956
flat_agricultural_field,TA-A* Optimized,7,True,0.28070759773254395,28.684271247461844,954
flat_agricultural_field,TA-A* Optimized,8,True,0.11594891548156738,8.8485281374239,423
flat_agricultural_field,TA-A* Optimized,9,True,56.815993785858154,75.19066376115511,209494
flat_agricultural_field,TA-A* Optimized,10,True,2.064638614654541,40.10092347159886,9393
gentle_hills,TA-A* Optimized,1,True,9.17945122718811,34.45096679918775,40929
gentle_hills,TA-A* Optimized,2,True,0.5452578067779541,11.574011537017725,2494
gentle_hills,TA-A* Optimized,3,True,32.35424304008484,59.634732983261244,134305
gentle_hills,TA-A* Optimized,4,True,1.3456764221191406,26.66274169979692,6054
gentle_hills,TA-A* Optimized,5,True,0.36417675018310547,10.242640687119282,1711
gentle_hills,TA-A* Optimized,6,True,10.009406566619873,36.45096679918771,43412
gentle_hills,TA-A* Optimized,7,True,3.9001688957214355,23.790663761154747,17193
gentle_hills,TA-A* Optimized,8,True,23.466840505599976,84.66458864299477,99431
gentle_hills,TA-A* Optimized,9,True,19.04009985923767,57.45096679918804,84510
gentle_hills,TA-A* Optimized,10,True,3.1215925216674805,32.95979797464458,14281
steep_terrain,TA-A* Optimized,1,True,2.022491693496704,60.796969619669866,8982
steep_terrain,TA-A* Optimized,2,True,11.924397706985474,42.30681092190342,51819
steep_terrain,TA-A* Optimized,3,False,60.22984433174133,0,256617
steep_terrain,TA-A* Optimized,4,True,0.019519329071044922,4.16568542494924,79
steep_terrain,TA-A* Optimized,5,True,25.76516628265381,48.75533905932727,111885
steep_terrain,TA-A* Optimized,6,True,4.836467504501343,25.259292911256328,21996
steep_terrain,TA-A* Optimized,7,True,0.14037680625915527,55.43717164502522,571
steep_terrain,TA-A* Optimized,8,True,0.08234357833862305,7.222539674441618,380
steep_terrain,TA-A* Optimized,9,True,3.129256248474121,24.222539674441563,14271
steep_terrain,TA-A* Optimized,10,True,6.625664234161377,29.73380951166233,30103
complex_obstacles,TA-A* Optimized,1,False,60.21738076210022,0,253112
complex_obstacles,TA-A* Optimized,2,True,32.75567412376404,59.96610383315972,138034
complex_obstacles,TA-A* Optimized,3,True,11.675557613372803,40.961226509631956,51619
complex_obstacles,TA-A* Optimized,4,True,1.0352051258087158,64.8485281374242,4827
complex_obstacles,TA-A* Optimized,5,True,5.073675632476807,25.08772003600254,22826
complex_obstacles,TA-A* Optimized,6,True,4.816695928573608,37.408326112068494,21917
complex_obstacles,TA-A* Optimized,7,True,17.906285285949707,46.52102448427655,77160
complex_obstacles,TA-A* Optimized,8,True,7.901345729827881,68.27695526217045,35265
complex_obstacles,TA-A* Optimized,9,False,60.23469877243042,0,253957
complex_obstacles,TA-A* Optimized,10,True,2.369713068008423,34.3112698372207,10930
extreme_hazards,TA-A* Optimized,1,True,3.7947981357574463,22.982337649086226,16966
extreme_hazards,TA-A* Optimized,2,True,42.02215623855591,57.97300141024094,181526
extreme_hazards,TA-A* Optimized,3,True,9.079550743103027,68.40529573173843,39306
extreme_hazards,TA-A* Optimized,4,True,0.4781777858734131,10.891168824543126,2126
extreme_hazards,TA-A* Optimized,5,True,0.023421287536621094,26.587214972614163,95
extreme_hazards,TA-A* Optimized,6,False,60.22880244255066,0,251337
extreme_hazards,TA-A* Optimized,7,True,16.720447063446045,46.63086578651006,74566
extreme_hazards,TA-A* Optimized,8,True,51.918010234832764,65.44894654563433,218743
extreme_hazards,TA-A* Optimized,9,True,37.73283243179321,52.79554108468257,164284
extreme_hazards,TA-A* Optimized,10,True,0.5551190376281738,15.245079348883195,2493
